occurrenceID,basisOfRecord,institutionCode,datasetName,occurrenceStatus,eventID,materialSampleID,eventDate,organismQuantity,organismQuantityType,sampleSizeValue,sampleSizeUnit,samplingProtocol,associatedSequences,identificationReferences,identificationRemarks,locationID,decimalLatitude,decimalLongitude,countryCode,fieldNumber,minimumDepthInMeters,maximumDepthInMeters,habitat,occurrenceRemarks,eventRemarks,datasetID,verbatimIdentification,scientificNameID,scientificName,taxonRank,taxonId
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:ASV_19:5fed7dee2e21768afbf6870e2a0272adb1d3b456,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1,2018-09-28/2019-01-28,2525,DNA sequence reads,30014,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR3460468,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: yes; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculalesg;Amphipleuraceae;Frustulia;Frustulia,no match,no match,no match,ASV_19:5fed7dee2e21768afbf6870e2a0272adb1d3b456
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:ASV_22:0236cab33b676fb7147c66cadd1826abaafae9b2,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1,2018-09-28/2019-01-28,1741,DNA sequence reads,30014,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR3460468,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: yes; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Chordata;Ascidiacea;Stolidobranchiag;Styelidae;Botrylloides;Botrylloides,no match,no match,no match,ASV_22:0236cab33b676fb7147c66cadd1826abaafae9b2
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:ASV_25:2ddc4b60b5d5084f04edc86205be6eb119951575,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1,2018-09-28/2019-01-28,1930,DNA sequence reads,30014,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR3460468,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: yes; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Cnidaria;Anthozoa;Scleractiniag;Caryophylliidae;Solenosmilia;Solenosmilia,no match,no match,no match,ASV_25:2ddc4b60b5d5084f04edc86205be6eb119951575
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:ASV_35:430d919e6967c222ebe25cea0cefa5bbf5468f3f,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1,2018-09-28/2019-01-28,60,DNA sequence reads,30014,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR3460468,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: yes; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Cnidaria;Hydrozoa;Leptothecatag;Campanulariidae;Campanularia;Campanularia,no match,no match,no match,ASV_35:430d919e6967c222ebe25cea0cefa5bbf5468f3f
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:ASV_36:6e1e670a5c78f20ba620726f33deaf2e843e879d,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1,2018-09-28/2019-01-28,827,DNA sequence reads,30014,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR3460468,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: yes; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Arthropoda;Arachnida;Scorpionesg;Diplocentridae;Bioculus;Bioculus,no match,no match,no match,ASV_36:6e1e670a5c78f20ba620726f33deaf2e843e879d
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:ASV_37:6e82fdcf57ca2cd62e82909874cc19d8dcec0417,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1,2018-09-28/2019-01-28,616,DNA sequence reads,30014,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR3460468,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: yes; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Cnidaria;Hydrozoa;Anthoathecatag;Cladonematidae;Staurocladia;Staurocladia,no match,no match,no match,ASV_37:6e82fdcf57ca2cd62e82909874cc19d8dcec0417
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:ASV_38:7a03333e7732be5e1e77b0de918a00f1fc22f7d2,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1,2018-09-28/2019-01-28,259,DNA sequence reads,30014,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR3460468,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: yes; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Arthropoda;Malacostraca;Mysidag;Mysidae;Archaeomysis;Archaeomysis,no match,no match,no match,ASV_38:7a03333e7732be5e1e77b0de918a00f1fc22f7d2
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:ASV_49:4d7236f2b760808e05b75f5371a40940ad43386f,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1,2018-09-28/2019-01-28,51,DNA sequence reads,30014,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR3460468,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: yes; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Mollusca;Bivalvia;Ostreidag;Ostreidae;Ostrea;Ostrea,no match,no match,no match,ASV_49:4d7236f2b760808e05b75f5371a40940ad43386f
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:ASV_56:a42963c094b2634a3d9cf51f05a820f9c08c6324,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1,2018-09-28/2019-01-28,260,DNA sequence reads,30014,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR3460468,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: yes; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Mollusca;Bivalvia;Ostreidag;Ostreidae;Dendostrea;Dendostrea,no match,no match,no match,ASV_56:a42963c094b2634a3d9cf51f05a820f9c08c6324
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1:ASV_58:d778e64825ca73cb664d7bcbebd529d4ac3e5337,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO_r1,2018-09-28/2019-01-28,159,DNA sequence reads,30014,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR3460468,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: yes; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Rhodophyta;Florideophyceae;Corallinalesg;Corallinaceae;Corallina;Corallina,no match,no match,no match,ASV_58:d778e64825ca73cb664d7bcbebd529d4ac3e5337
