occurrenceID,measurementType,measurementUnit,measurementValue,measurementTypeID,measurementUnitID,measurementValueID
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:ASV_2:89fd24de661f80254b12d6718f2c5a727c1336ae,submergedTime,day,535,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:ASV_2:89fd24de661f80254b12d6718f2c5a727c1336ae,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:ASV_2:89fd24de661f80254b12d6718f2c5a727c1336ae,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:ASV_2:89fd24de661f80254b12d6718f2c5a727c1336ae,sampleAccessionNumber,,SAMEA14201108,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:ASV_2:89fd24de661f80254b12d6718f2c5a727c1336ae,NCBIID,,,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:ASV_2:89fd24de661f80254b12d6718f2c5a727c1336ae,NCBIScientificName,,,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:ASV_2:89fd24de661f80254b12d6718f2c5a727c1336ae,NCBITaxonRank,,,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:ASV_2:89fd24de661f80254b12d6718f2c5a727c1336ae,fieldReplicateID,,ARMS_Bodo_GStra_20190621_20201207,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:ASV_2:89fd24de661f80254b12d6718f2c5a727c1336ae,technicalReplicateID,,,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:ASV_2:89fd24de661f80254b12d6718f2c5a727c1336ae,originalScientificName,,,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:ASV_2:89fd24de661f80254b12d6718f2c5a727c1336ae,originalTaxonRank,,,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:ASV_2:89fd24de661f80254b12d6718f2c5a727c1336ae,originalScientificNameConfidenceLevel,,,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:ASV_3:72d1fc8a17a593b983e3ded9f20202fb953ce374,submergedTime,day,535,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:ASV_3:72d1fc8a17a593b983e3ded9f20202fb953ce374,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:ASV_3:72d1fc8a17a593b983e3ded9f20202fb953ce374,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:ASV_3:72d1fc8a17a593b983e3ded9f20202fb953ce374,sampleAccessionNumber,,SAMEA14201108,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:ASV_3:72d1fc8a17a593b983e3ded9f20202fb953ce374,NCBIID,,,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:ASV_3:72d1fc8a17a593b983e3ded9f20202fb953ce374,NCBIScientificName,,,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:ASV_3:72d1fc8a17a593b983e3ded9f20202fb953ce374,NCBITaxonRank,,,,,
ARMS_Bodo_GStraB_20190621_20201207_MF100_r1:ASV_3:72d1fc8a17a593b983e3ded9f20202fb953ce374,fieldReplicateID,,ARMS_Bodo_GStra_20190621_20201207,,,
